Starting Integer: 2367634278637862836782367823253326537911


ODD: 2367634278637862836782367823253326537911 *3+1
EVEN: 7102902835913588510347103469759979613734 /2
ODD: 3551451417956794255173551734879989806867 *3+1
EVEN: 10654354253870382765520655204639969420602 /2
ODD: 5327177126935191382760327602319984710301 *3+1
EVEN: 15981531380805574148280982806959954130904 /2
EVEN: 7990765690402787074140491403479977065452 /2
EVEN: 3995382845201393537070245701739988532726 /2
ODD: 1997691422600696768535122850869994266363 *3+1
EVEN: 5993074267802090305605368552609982799090 /2
ODD: 2996537133901045152802684276304991399545 *3+1
EVEN: 8989611401703135458408052828914974198636 /2
EVEN: 4494805700851567729204026414457487099318 /2
ODD: 2247402850425783864602013207228743549659 *3+1
EVEN: 6742208551277351593806039621686230648978 /2
ODD: 3371104275638675796903019810843115324489 *3+1
EVEN: 10113312826916027390709059432529345973468 /2
EVEN: 5056656413458013695354529716264672986734 /2
ODD: 2528328206729006847677264858132336493367 *3+1
EVEN: 7584984620187020543031794574397009480102 /2
ODD: 3792492310093510271515897287198504740051 *3+1
EVEN: 11377476930280530814547691861595514220154 /2
ODD: 5688738465140265407273845930797757110077 *3+1
EVEN: 17066215395420796221821537792393271330232 /2
EVEN: 8533107697710398110910768896196635665116 /2
EVEN: 4266553848855199055455384448098317832558 /2
ODD: 2133276924427599527727692224049158916279 *3+1
EVEN: 6399830773282798583183076672147476748838 /2
ODD: 3199915386641399291591538336073738374419 *3+1
EVEN: 9599746159924197874774615008221215123258 /2
ODD: 4799873079962098937387307504110607561629 *3+1
EVEN: 14399619239886296812161922512331822684888 /2
EVEN: 7199809619943148406080961256165911342444 /2
EVEN: 3599904809971574203040480628082955671222 /2
ODD: 1799952404985787101520240314041477835611 *3+1
EVEN: 5399857214957361304560720942124433506834 /2
ODD: 2699928607478680652280360471062216753417 *3+1
EVEN: 8099785822436041956841081413186650260252 /2
EVEN: 4049892911218020978420540706593325130126 /2
ODD: 2024946455609010489210270353296662565063 *3+1
EVEN: 6074839366827031467630811059889987695190 /2
ODD: 3037419683413515733815405529944993847595 *3+1
EVEN: 9112259050240547201446216589834981542786 /2
ODD: 4556129525120273600723108294917490771393 *3+1
EVEN: 13668388575360820802169324884752472314180 /2
EVEN: 6834194287680410401084662442376236157090 /2
ODD: 3417097143840205200542331221188118078545 *3+1
EVEN: 10251291431520615601626993663564354235636 /2
EVEN: 5125645715760307800813496831782177117818 /2
ODD: 2562822857880153900406748415891088558909 *3+1
EVEN: 7688468573640461701220245247673265676728 /2
EVEN: 3844234286820230850610122623836632838364 /2
EVEN: 1922117143410115425305061311918316419182 /2
ODD: 961058571705057712652530655959158209591 *3+1
EVEN: 2883175715115173137957591967877474628774 /2
ODD: 1441587857557586568978795983938737314387 *3+1
EVEN: 4324763572672759706936387951816211943162 /2
ODD: 2162381786336379853468193975908105971581 *3+1
EVEN: 6487145359009139560404581927724317914744 /2
EVEN: 3243572679504569780202290963862158957372 /2
EVEN: 1621786339752284890101145481931079478686 /2
ODD: 810893169876142445050572740965539739343 *3+1
EVEN: 2432679509628427335151718222896619218030 /2
ODD: 1216339754814213667575859111448309609015 *3+1
EVEN: 3649019264442641002727577334344928827046 /2
